category_id,month,dayparting_name,weekday,desc_row,num_tags,title_upper,title_length,popularity
24,August,6am - 12pm,Sunday,463,22,2,50,Very Popular
24,August,6pm - 12am,Sunday,1318,26,2,48,Hyper Popular
10,August,12pm - 6pm,Saturday,2294,29,13,77,Very Popular
26,August,12am - 6am,Sunday,1704,31,10,16,Very Popular
20,August,12pm - 6pm,Thursday,547,1,6,33,Hyper Popular
24,August,12pm - 6pm,Sunday,197,8,10,45,Popular
20,August,12pm - 6pm,Saturday,2483,11,21,70,Hyper Popular
23,August,6pm - 12am,Sunday,227,16,29,41,Popular
10,August,12am - 6am,Friday,716,5,11,54,Hyper Popular
23,August,12am - 6am,Saturday,187,1,2,41,Hyper Popular
17,August,6am - 12pm,Monday,2796,34,3,29,Popular
24,July,6pm - 12am,Monday,745,21,29,61,Hyper Popular
2,August,6am - 12pm,Sunday,449,61,1,41,Popular
26,August,6pm - 12am,Saturday,772,9,25,28,Popular
17,August,6pm - 12am,Saturday,329,13,14,46,Popular
17,August,12pm - 6pm,Saturday,627,14,17,69,Very Popular
15,August,12pm - 6pm,Sunday,1222,14,36,58,Popular
24,August,6pm - 12am,Friday,1042,12,34,41,Highly Popular
25,August,12pm - 6pm,Saturday,413,3,1,86,Highly Popular
25,August,12am - 6am,Saturday,1128,13,2,60,Hyper Popular
22,August,12pm - 6pm,Saturday,1251,15,7,36,Hyper Popular
10,August,12am - 6am,Friday,440,6,6,76,Hyper Popular
26,August,12pm - 6pm,Saturday,3180,59,9,68,Popular
27,August,12pm - 6pm,Saturday,3257,12,6,40,Popular
22,August,12pm - 6pm,Saturday,1354,33,5,45,Popular
17,August,6pm - 12am,Saturday,334,12,15,51,Popular
24,August,6pm - 12am,Friday,1285,22,51,61,Hyper Popular
24,August,12pm - 6pm,Saturday,2180,42,20,66,Very Popular
24,August,6am - 12pm,Friday,1845,42,13,20,Hyper Popular
25,August,6am - 12pm,Friday,697,2,2,56,Very Popular
20,August,12pm - 6pm,Thursday,890,25,6,46,Hyper Popular
17,August,12pm - 6pm,Sunday,1441,12,16,39,Very Popular
17,August,12pm - 6pm,Saturday,1510,41,13,96,Highly Popular
1,August,12pm - 6pm,Friday,461,23,3,23,Highly Popular
10,August,12am - 6am,Friday,371,27,26,70,Very Popular
22,August,6pm - 12am,Saturday,800,1,5,38,Popular
24,August,6pm - 12am,Thursday,871,11,21,63,Popular
22,August,6pm - 12am,Friday,423,20,37,47,Highly Popular
17,August,6pm - 12am,Sunday,758,28,5,84,Popular
25,August,6pm - 12am,Saturday,1091,7,11,75,Popular
10,August,12am - 6am,Friday,3377,8,10,63,Hyper Popular
24,August,6pm - 12am,Thursday,512,1,5,25,Hyper Popular
24,August,12pm - 6pm,Thursday,1513,23,12,91,Hyper Popular
20,August,6pm - 12am,Thursday,250,13,5,40,Hyper Popular
10,August,12am - 6am,Friday,690,1,4,19,Hyper Popular
22,August,12pm - 6pm,Thursday,559,9,18,43,Hyper Popular
10,August,12am - 6am,Friday,909,20,6,43,Hyper Popular
1,August,6pm - 12am,Thursday,1265,25,15,56,Hyper Popular
10,August,6pm - 12am,Thursday,603,23,6,39,Hyper Popular
10,August,12pm - 6pm,Thursday,625,32,6,39,Highly Popular
10,August,6pm - 12am,Thursday,623,26,8,58,Highly Popular
10,August,12pm - 6pm,Thursday,525,1,7,36,Very Popular
17,August,6pm - 12am,Wednesday,337,17,22,68,Popular
26,August,6pm - 12am,Thursday,1425,35,12,73,Very Popular
26,August,6pm - 12am,Thursday,3720,29,0,54,Very Popular
10,August,12am - 6am,Thursday,4895,1,9,38,Popular
23,August,6pm - 12am,Thursday,1314,40,38,46,Popular
10,August,12am - 6am,Thursday,1535,19,13,95,Hyper Popular
10,August,12pm - 6pm,Thursday,625,10,6,61,Very Popular
24,August,12pm - 6pm,Thursday,1303,6,4,25,Highly Popular
10,August,12am - 6am,Friday,302,15,6,43,Popular
10,August,6pm - 12am,Thursday,2784,19,12,76,Popular
